Date,Daily_Min_C,Daily_Max_C
2025-01-01,13.5,27.7
2025-01-02,15.0,25.7
2025-01-03,12.7,23.1
2025-01-04,12.3,27.4
2025-01-05,14.5,26.4
2025-01-06,12.2,28.1
2025-01-07,14.1,21.2
2025-01-08,11.5,22.9
2025-01-09,13.1,20.5
2025-01-10,14.1,27.1
2025-01-11,13.1,25.5
2025-01-12,14.7,22.8
2025-01-13,14.7,23.5
2025-01-14,12.6,28.3
2025-01-15,16.2,27.5
2025-01-16,13.6,23.2
2025-01-17,15.1,25.3
2025-01-18,12.9,25.7
2025-01-19,12.6,28.2
2025-01-20,13.5,26.8
2025-01-21,13.8,26.0
2025-01-22,11.8,20.4
2025-01-23,14.1,24.4
2025-01-24,12.9,24.1
2025-01-25,12.8,25.0
2025-01-26,14.2,24.7
2025-01-27,16.0,25.2
2025-01-28,13.8,26.4
2025-01-29,13.3,28.0
2025-01-30,13.0,29.1
2025-01-31,15.8,24.4
2025-02-01,14.1,31.0
2025-02-02,17.6,30.5
2025-02-03,18.0,26.6
2025-02-04,16.0,26.9
2025-02-05,18.6,30.0
2025-02-06,15.9,26.7
2025-02-07,15.9,28.4
2025-02-08,18.0,30.3
2025-02-09,18.9,29.4
2025-02-10,15.1,30.9
2025-02-11,18.3,30.0
2025-02-12,18.4,29.7
2025-02-13,17.2,29.3
2025-02-14,14.8,27.5
2025-02-15,14.9,30.7
2025-02-16,16.3,30.0
2025-02-17,19.4,28.5
2025-02-18,16.9,31.6
2025-02-19,16.1,27.6
2025-02-20,16.4,28.2
2025-02-21,19.7,32.1
2025-02-22,18.2,35.0
2025-02-23,16.0,34.8
2025-02-24,19.2,34.5
2025-02-25,15.8,30.7
2025-02-26,19.3,33.7
2025-02-27,17.8,31.6
2025-02-28,15.9,32.6
2025-03-01,20.0,33.1
2025-03-02,22.3,32.2
2025-03-03,23.9,35.9
2025-03-04,19.6,33.1
2025-03-05,20.0,31.9
2025-03-06,18.4,33.8
2025-03-07,21.2,30.5
2025-03-08,19.9,35.7
2025-03-09,19.7,31.1
2025-03-10,21.2,36.2
2025-03-11,19.8,34.4
2025-03-12,22.9,31.8
2025-03-13,22.8,32.6
2025-03-14,21.0,29.6
2025-03-15,22.4,28.8
2025-03-16,22.0,34.5
2025-03-17,18.6,33.6
2025-03-18,19.9,34.4
2025-03-19,19.6,34.7
2025-03-20,20.9,36.2
2025-03-21,19.5,32.7
2025-03-22,17.8,30.6
2025-03-23,20.6,30.9
2025-03-24,17.4,27.0
2025-03-25,22.5,32.8
2025-03-26,20.9,35.1
2025-03-27,24.2,36.1
2025-03-28,23.5,34.7
2025-03-29,19.4,31.8
2025-03-30,24.3,34.5
2025-03-31,19.0,31.5
2025-04-01,25.3,34.0
2025-04-02,22.8,36.8
2025-04-03,25.5,37.3
2025-04-04,23.2,37.6
2025-04-05,23.2,35.7
2025-04-06,25.8,37.3
2025-04-07,26.3,37.3
2025-04-08,24.9,34.5
2025-04-09,23.9,35.4
2025-04-10,23.3,38.9
2025-04-11,24.1,38.5
2025-04-12,25.3,38.1
2025-04-13,24.6,37.0
2025-04-14,24.6,35.1
2025-04-15,25.8,32.5
2025-04-16,25.4,30.1
2025-04-17,26.9,35.0
2025-04-18,22.3,38.8
2025-04-19,24.3,39.0
2025-04-20,27.0,38.4
2025-04-21,23.7,36.1
2025-04-22,26.5,35.7
2025-04-23,23.1,37.0
2025-04-24,26.9,37.7
2025-04-25,25.1,34.7
